stock,date,title,label
TAC,2017-03-03,"TransAlta Reports Q4 EPS C$0.18 vs. $0.11 Est., Funds From Operations of C$0.79; Earnings Scheduled For March 3, 2017",2
ZGNX,2015-11-25,Mid-Day Market Update: HP Slides Following Q4 Results; Deere Shares Surge; Zogenix to Offer New Data on ZX008 for Dravet Syndrome at AAES Meeting,2
ETN,2012-10-16,New Electric Car Charging Standard Isolates Japanese Makers; Eaton Says Three Advisory Firms Recommend Shareholders Vote for Acquisition of Cooper,1
INXN,2013-08-08,"UPDATE: Piper Jaffray Downgrades InterXion Holding on Lack of Catalysts/Upside; Piper Jaffray Downgrades InterXion Holding N.V. to Neutral, Lowers PT to $24.00",0
GD,2014-02-25,"General Dynamics Awarded $250M Contract to Support U.S. Navy's Air and Missile Defense Radar Program; General Dynamics Receives $138M to Support Defense, Veterans Brain Injury Center",1
INXN,2013-02-06,"UPDATE: Jefferies Reiterates Buy Rating, Raises PT on InterXion Holding on Strong Organic Growth; Jefferies Maintains Buy on InterXion Holding N.V., Raises PT to $27.10",1
NAV,2010-12-27,"Mad Money Lightning Round: Cramer likes Hasbro (CHK, SWN, CLF, EK, WBC, NAV, CMI, ARMH, HAS); Top 4 NYSE Stocks In The Trucks & Other Vehicles Industry With The Highest Operating Margin (OSK, SWFT, FSS, NAV)",1
AVA,2017-02-22,"Avista Corp. Reports Q4 Net Income $0.62 vs. $0.57 Est., Sales Of $402.12M Do Not Compare To $576M Est.; Avista Sees FY 2017 EPS $1.80 to $2.00 vs $2.07 Est; Avista Q4 Adj EPS $0.69 vs $0.57 Est, Revenue $402.12M vs $576.05M Est, Only 2 Estimates; Earnings Scheduled For February 22, 2017",1
BPI,2012-07-10,"UPDATE: Piper Jaffray Downgrades BPI to Bridgepoint Education to Neutral on Heightened Regulatory Uncertainty  ; First Analysis Downgrades Bridgepoint Education from Overweight to Equal-weight; Benzinga's Top Downgrades; Piper Jaffray Downgrades Bridgepoint Education from Overweight to Neutral, Lowers PT from $32 to $18",0
ONP,2010-11-30,Orient Paper Audit: Financials Not Falsified; Time to Turn Page on ONP Fraud Claims,2
CMCO,2011-05-26,Earnings Roundup For May 26 ; Columbus McKinnon Reports EPS of $0.20 vs. $0.27 Estimate; Revenues $144.0M vs. $137.85M Estimate; Earnings Scheduled For May 26,0
HALO,2017-02-13,UPDATE: MabVax Says MVT-5873 Demonstrated Improvement in Accumulation on Tumors in An Animal Model of Pancreatic Cancer; MabVax Therapeutics Reports Studies Lead Investigational MVT-5873 with Halozyne PEGPH20,0
IVZ,2012-03-08,"UPDATE: Citigroup Increases PT to $30 on Invesco; Citigroup Maintains Invesco Limited at Buy, Raises PT from $27 to $30",1
ETN,2014-10-14,"Benzinga's Top Upgrades; Barclays Upgrades Eaton To Neutral; Barclays Upgrades Eaton Corporation to Overweight, Maintains $78.00 PT",1
IVZ,2010-06-18,Goldman Sachs Reiterates Buy Rating on Invesco (IVZ); Goldman Sachs Says Swap Into Invesco From Franklin Resources,1
RST,2017-03-14,"Rosetta Stone And SOURCENEXT Announce Strategic Partnership; Rosetta Stone Reports Q4 EPS $(0.25) vs $(0.62) Est., Sales $51.7M vs $48.05M Est.",2
RLI,2011-01-20,RLI Corp. Downgraded - Analyst Blog; RLI Corp. Downgraded - Analyst Blog; RLI Corporation (RLI) - Bear of the Day; RLI Corporation (RLI) - Bear of the Day,1
TOL,2013-11-07,"Toll Brothers Prices 6.25M Share Offering at $32.00/Share; Benzinga's M&A Chatter for Thursday November 7, 2013; Fitch Affirms Toll Brothers' BBB- Rating; Outlook Stable; US Stock Futures Edge Lower Ahead Of GDP, Jobless Claims Data; Toll Brothers Announces 6.25M Share Offering ",0
COF,2016-07-14,"Amazon Moves Cloud Service Focus From Startups Like Lyft To Big Enterprises Like Netflix And Capital One; Amazon's Cloud Services Could Add $1 Billion To Revenue, Says Pacific Crest",1
DKS,2015-04-14,"Dick's Plunges Into Negative Territory Following Announcement Of 2017 Goals; Shares of Dick's Plunge Into Negative Territory, Now Down 2%; Stock Had Traded Up More Than 1.3% in Pre-Market Session; Dick's Expecting FY17 Sales in $8.7-$9B Range; Dick's Reaffirms FY15 Outlook; Dicks Sporting Goods Sees FY Q1 EPS $0.49-$0.53, FY EPS $3.10-$3.20",0
CNX,2011-11-18,4 ETFs As Replacements For Beaten Down Materials Names; 4 ETFs As Replacements For Beaten Down Materials Names,1
AGRX,2014-09-16,UPDATE: Agile Initiates Phase 3 SECURE Study for Twirla; Agile Initiates Phase 3 SECURE Study for Twirla ,0
JCI,2016-11-01,"Johnson Controls Added To Goldman's Conviction Buy List: A 'Franchise With Improving Fundamentals'; Goldman Sachs Maintains Buy on Johnson Controls International plc Ordinary Share, Maintains $46.00, Adds To Conviction Buy List",1
AGEN,2014-03-20,"Morning Market Losers ; Adam Feuerstein tweets: 'Thx, I don't see a favorable risk/reward in a company which has never proven capable of doing anything right. $AGEN @hydrogenblimp'; US Stock Futures Drop Ahead Of Jobless Claims Report; Agenus Therapeutics Reports GlaxoSmithKline's Magrit Study Does Not Meet First or Second Primary Endpoint",2
GD,2014-10-13,"What's The Big Secret About Gulfstream Aerospace's New P42 Jet?; Buckingham Research Upgrades General Dynamics Corporation to Buy, Raises PT to $144.00",0
AZN,2015-10-20,Benzinga's Top Downgrades; Credit Suisse Downgrades AstraZeneca to Underperform,0
CETV,2016-02-22,Mid-Afternoon Market Update: Dow Surges Over 250 Points; Lumber Liquidators Shares Drop; Mid-Day Market Update: Crude Oil Jumps Over 7%; Intelsat Shares Slide Following Preliminary Q4 Results; Mid-Morning Market Update: Markets Open Higher; Dean Foods Q4 Profit Tops Expectations; 10 Stocks Moving In Monday's Pre-Market Session,1
CINF,2013-03-18,Benzinga's Top Downgrades; Keefe Bruyette & Woods Downgrades Cincinnati Financial Corporation to Market Perform,1
AEZS,2014-11-06,Morning Market Losers ; PREVIEW: Aeterna Zentaris to Resume Trading at 7:30 AM ET; Aeterna Zentaris Inc Announces It Has Received Complete Response Letter From FDA For Macrilen ,2
KEY,2016-12-14,"KeyCorp Raises Prime Lending Rate From 3.5% to 3.75%; Najarian Brothers See Unusually High Options Activity In KeyCorp, Gilead Sciences; Option Alert: KEY Dec16 18.0 Calls Sweep: 750 @  ASK  $0.26: 5085 traded vs 2064 OI:  Earnings 1/19 Before Open  $17.96 Ref",1
AVA,2014-04-08,"12 Stocks Paying Increased Dividends: Investment Idea Of The Day; CRT Capital Initiates Coverage on Avista Corporation at Fair Value, Announces $32.00 PT",2
WNS,2011-04-07,WNS Recognized Among Everest Group's Top 5 2010 FAO Market Star Performers   ; WNS Recognized Among Everest Group's Top 5 2010 FAO Market Star Performers   ,0
TM,2011-05-19,"Start Your Engines: Global X Introduces An Auto ETF; How to Profit from Japan's Fall into Recession (TM, SNE, HIT, YCS, FXY, YCL, EWV) ",1
BPI,2013-05-06,"US Stock Futures Slightly Higher, Gold Gains; Earnings Scheduled For May 6, 2013",0
RUBI,2016-08-16,"The Market In 5 Minutes: New All-Time Highs, And Our 7 Favorite Movies; First Analysis Downgrades The Rubicon Project to Equal-weight",0
IMPV,2017-02-09,20 Biggest Mid-Day Gainers For Thursday; 25 Stocks Moving In Thursday's Pre-Market Session,1
MDCO,2014-04-02,"Market Wrap For April 2: Markets On Four-Day Winning Streak; Benzinga's Top Downgrades; Piper Jaffray Downgrades The Medicines Company to Neutral, Lowers PT to $29.00",2
HALO,2014-02-28,"Mid-Afternoon Market Update: Markets Take a Sharp Dip to the Downside, as Traders Take Month-End Profits; Mornings Movers for Feb. 28, 2014: CETV, OTVI, MELI, REGI, GALE Moving Higher, ELGX, DECK, MDVN, CGEN, ARNA Lowr",0
PGRE,2016-03-02,"Benzinga's Top Upgrades; Capital One Financial Upgrades Paramount Group to Overweight, Lowers PT to $19.00",1
MKC,2012-01-26,McCormick Reports Q4 EPS $1.03 vs $0.97 Est; Revenues $1.11B vs $1.09B Est				 	; Earnings Scheduled For January 26,1
AGEN,2013-09-17,Morning Market Movers ; Agenus Reports Positive Follow-on Phase 2 Results for Brain Cancer Vaccine,0
TST,2014-11-03,"TheStreet Completes Acquisition of BoardEx For $22.5M; TheStreet Announces Closing of BoardEx, Paid $21M in CAsh",0
MDCO,2014-04-17,"Benzinga's Top Downgrades; Leerink Swann Downgrades The Medicines Company to Market Perform, Lowers PT to $27.00",2
RENN,2011-06-08,Chinese Internets Getting Crushed; Top Percentage Gainers and Losers as of 2pm 06/08/11; Top Percentage Gainers and Losers as of 12pm 06/08/11,0
RGS,2017-08-23,"15 Biggest Mid-Day Gainers For Wednesday; Mid-Morning Market Update: Markets Open Lower; Lowe's Earnings Miss Expectations; Regis Q4 Adj. EPS $0.20 from $0.12 YoY, Sales $424K from $448K YoY",2
ZGNX,2013-06-27,UPDATE: Zogenix and Valeant Pharmaceuticals Enter Exclusive Co-Promotion Agreement for Migranal Nasal Spray; Zogenix and Valeant in Pact for Migranal Nasal Spray,2
SNY,2016-06-01,"Medivation Sets June 1, 2016 as Record Date for Sanofi Consent Solicitation; UPDATE: Sanofi Says Latest Medivation Board Can Set Record Date is Jun. 22, 2016; Sanofi Issues Release Disclosing It Has Submitted Written Notice to Secretary of Medivation Requesting Fix of Record Date; CNBC Now Tweets: Sanofi expected to request record date from Medivation today - sources (via @davidfaber)",1
