stock,year,label
SXE,2014,1
SXE,2015,0
SXE,2016,0
SXE,2017,2
UIHC,2014,2
UIHC,2015,0
UIHC,2016,1
UIHC,2017,1
FRPT,2014,0
FRPT,2015,0
FRPT,2016,2
FRPT,2017,2
SYKE,2014,1
SYKE,2015,2
SYKE,2016,1
SYKE,2017,1
USAP,2014,0
USAP,2015,0
USAP,2016,2
USAP,2017,2
PMD,2014,1
PMD,2015,0
PMD,2016,2
PMD,2017,0
STLD,2014,1
STLD,2015,1
STLD,2016,2
STLD,2017,1
AAU,2014,0
AAU,2015,0
AAU,2016,2
AAU,2017,1
GBDC,2014,1
GBDC,2015,1
GBDC,2016,2
GBDC,2017,1
REXX,2014,0
REXX,2015,0
REXX,2016,0
REXX,2017,0
CLF,2014,0
CLF,2015,0
CLF,2016,2
CLF,2017,0
ROCK,2014,0
ROCK,2015,2
ROCK,2016,2
ROCK,2017,0
GLOB,2014,2
GLOB,2015,2
GLOB,2016,1
GLOB,2017,1
ORBC,2014,1
ORBC,2015,2
ORBC,2016,2
ORBC,2017,2
DGLY,2014,2
DGLY,2015,0
DGLY,2016,0
DGLY,2017,0
MDSO,2014,0
MDSO,2015,1
MDSO,2016,1
MDSO,2017,2
RDNT,2014,2
RDNT,2015,0
RDNT,2016,1
RDNT,2017,2
ABG,2014,2
ABG,2015,0
ABG,2016,1
ABG,2017,1
CYS,2014,2
CYS,2015,1
CYS,2016,2
CYS,2017,1
NTN,2014,0
NTN,2015,0
NTN,2016,2
NTN,2017,0
OPY,2014,1
OPY,2015,0
OPY,2016,2
OPY,2017,2
NMM,2014,0
NMM,2015,0
NMM,2016,0
NMM,2017,2
SUN,2014,2
SUN,2015,0
SUN,2016,0
SUN,2017,2
RHT,2014,2
RHT,2015,2
RHT,2016,0
RHT,2017,2
GGG,2014,1
GGG,2015,1
GGG,2016,2
GGG,2017,2
COLB,2014,1
COLB,2015,2
COLB,2016,2
COLB,2017,1
NBIX,2014,2
NBIX,2015,2
NBIX,2016,0
NBIX,2017,2
DPZ,2014,2
DPZ,2015,2
DPZ,2016,2
DPZ,2017,2
VIV,2014,1
VIV,2015,0
VIV,2016,2
VIV,2017,2
ADMS,2014,2
ADMS,2015,2
ADMS,2016,0
ADMS,2017,2
LPCN,2014,0
LPCN,2015,2
LPCN,2016,0
LPCN,2017,1
SJT,2014,1
SJT,2015,0
SJT,2016,2
SJT,2017,2
BT,2014,1
BT,2015,2
BT,2016,0
BT,2017,0
CA,2014,1
CA,2015,1
CA,2016,2
CA,2017,1
MDCA,2014,1
MDCA,2015,1
MDCA,2016,0
MDCA,2017,2
MSI,2014,1
MSI,2015,1
MSI,2016,2
MSI,2017,2
PPSI,2014,1
PPSI,2015,0
PPSI,2016,2
PPSI,2017,2
JLL,2014,2
JLL,2015,1
JLL,2016,0
JLL,2017,2
GRFS,2014,1
GRFS,2015,1
GRFS,2016,1
GRFS,2017,2
SHOO,2014,0
SHOO,2015,1
SHOO,2016,2
SHOO,2017,2
ASMB,2014,0
ASMB,2015,1
ASMB,2016,2
ASMB,2017,2
MLR,2014,2
MLR,2015,2
MLR,2016,2
MLR,2017,1
ISBC,2014,2
ISBC,2015,2
ISBC,2016,2
ISBC,2017,1
CERS,2014,1
CERS,2015,1
CERS,2016,0
CERS,2017,0
EXK,2014,0
EXK,2015,0
EXK,2016,2
EXK,2017,0
MTRN,2014,2
MTRN,2015,0
MTRN,2016,2
MTRN,2017,2
JNJ,2014,2
JNJ,2015,1
JNJ,2016,2
JNJ,2017,2
BUSE,2014,2
BUSE,2015,1
BUSE,2016,2
BUSE,2017,1
ANF,2014,1
ANF,2015,1
ANF,2016,0
ANF,2017,1
ENZY,2014,0
ENZY,2015,2
ENZY,2016,0
ENZY,2017,2
ACHC,2014,2
ACHC,2015,1
ACHC,2016,0
ACHC,2017,0
CHMG,2014,0
CHMG,2015,1
CHMG,2016,2
CHMG,2017,2
BCBP,2014,1
BCBP,2015,1
BCBP,2016,2
BCBP,2017,2
MAGS,2014,2
MAGS,2015,0
MAGS,2016,2
MAGS,2017,0
HHS,2014,1
HHS,2015,0
HHS,2016,0
HHS,2017,0
CNHI,2014,0
CNHI,2015,0
CNHI,2016,2
CNHI,2017,2
SCHN,2014,0
SCHN,2015,0
SCHN,2016,2
SCHN,2017,1
TMUS,2014,0
TMUS,2015,2
TMUS,2016,2
TMUS,2017,1
FSLR,2014,0
FSLR,2015,2
FSLR,2016,0
FSLR,2017,2
FUL,2014,0
FUL,2015,0
FUL,2016,2
FUL,2017,2
CGEN,2014,1
CGEN,2015,0
CGEN,2016,0
CGEN,2017,0
EROS,2014,2
EROS,2015,0
EROS,2016,2
EROS,2017,1
TAC,2014,0
TAC,2015,0
TAC,2016,2
TAC,2017,2
JFR,2014,1
JFR,2015,1
JFR,2016,2
JFR,2017,1
COT,2014,0
COT,2015,2
COT,2016,1
COT,2017,2
CHS,2014,0
CHS,2015,0
CHS,2016,2
CHS,2017,0
MON,2014,1
MON,2015,0
MON,2016,2
MON,2017,2
CACI,2014,2
CACI,2015,1
CACI,2016,2
CACI,2017,1
AHGP,2014,2
AHGP,2015,0
AHGP,2016,2
AHGP,2017,1
SMBC,2014,2
SMBC,2015,2
SMBC,2016,2
SMBC,2017,1
HRS,2014,1
HRS,2015,2
HRS,2016,2
HRS,2017,2
REXR,2014,2
REXR,2015,1
REXR,2016,2
REXR,2017,2
RNN,2014,2
RNN,2015,0
RNN,2016,0
